Model,RMSE,R²
LinearRegression_baseline,4.244997109276245,1.0
RandomForest_baseline,17577.712717387323,0.9999710030739376
GradientBoosting_baseline,23000.93782113435,0.9999503501061278
Surrogate_NN_Final,36938.12339575469,0.9998719692230225
NN_baseline,37215.29663995707,0.9998700022697449
MLPRegressor_baseline,120858.76398507475,0.9986291527748108
